,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fixed NOMA Outage
31,271.8163674421983,380.8096869320426,380.8096869320426,271.389587291545,1,13,13,12
32,256.7499939313823,381.13922285589376,381.13922285589376,352.66303101826975,5,12,12,7
33,236.2928495772215,349.82316504351684,349.82316504351684,349.31262756406716,6,14,14,8
34,236.2928495772215,349.82316504351684,349.82316504351684,349.31262756406716,6,14,14,8
35,320.4408195187946,454.73892071370847,455.9406467879164,349.43319180717685,2,14,13,11
36,320.4408195187946,454.73892071370847,455.9406467879164,349.43319180717685,2,14,13,11
37,224.218520793825,314.46060995268454,316.0966579738631,265.81369277509987,4,15,16,12
38,225.85776174881727,373.2892880397119,374.1459884112998,300.23485470971525,5,13,14,9
39,225.85776174881727,373.2892880397119,374.1459884112998,300.23485470971525,5,13,14,9
40,227.75293939396653,345.7820642182927,346.3937898489702,253.2047324515886,4,14,14,10
41,227.75293939396653,345.7820642182927,346.3937898489702,253.2047324515886,4,14,14,10
42,228.14423070068688,341.85317510339814,343.0461995357798,345.36459600533556,6,14,15,9
43,191.0942086161231,360.27004574686146,360.3441940648968,319.37804537268454,8,15,15,7
44,209.0262112331879,355.2822310860994,356.21888906966757,256.7270633184001,4,16,16,12
45,155.99117674003534,322.78705186744355,323.2048638491324,216.43983919007647,7,16,17,10
46,222.96105499946736,344.5364735240636,346.1390185627582,231.41043893179042,2,14,16,14
47,189.22832766293487,350.9093539225046,356.2092813163576,219.0253411601834,6,19,20,14
48,272.3924741597902,402.6330500995468,403.6330500995468,306.15424932974764,1,13,13,12
49,272.3924741597902,402.6330500995468,403.6330500995468,306.15424932974764,1,13,13,12
0,248.42528719931752,362.26359760639383,363.1056181658356,290.5086379824142,4,12,12,8
1,248.42528719931752,362.26359760639383,363.1056181658356,290.5086379824142,4,12,12,8
2,207.62280168710197,362.2661710772342,362.2661710772342,238.08581043125653,4,16,16,12
3,237.49408379637993,372.413673291852,373.3635349236456,277.21763627525553,3,15,15,12
4,205.86168456575658,337.58522610777004,337.58522610777004,294.04999398324577,6,15,15,9
5,291.40935800937405,405.34608753645034,405.34608753645034,336.2189009007969,2,11,11,9
6,221.63734310273145,390.8598216407489,391.1563439994061,284.03167491799366,6,17,17,11
7,219.2933668453408,344.45432046924964,345.45432046924964,267.60272716329973,4,15,15,11
8,206.01024152317586,352.96383572724494,352.96383572724494,224.47603644051657,4,14,14,10
9,237.08591662131252,379.91612654817595,383.16336329333,259.88455514116527,2,16,15,13
10,237.08591662131252,379.91612654817595,383.16336329333,259.88455514116527,2,16,15,13
11,199.3775128210621,348.41193112388345,350.6894125971771,211.0955612116247,5,16,17,12
12,298.91873412118713,386.2113602857273,386.2113602857273,369.43609639957344,2,12,12,10
13,185.0022697929603,344.0051519725468,344.0051519725468,197.20931662378268,2,17,17,15
14,185.0022697929603,344.0051519725468,344.0051519725468,197.20931662378268,2,17,17,15
15,236.32604375028077,381.0739110516463,381.0739110516463,329.2608611523394,6,12,12,6
0,243.84547501505406,378.26418396093356,378.2641839609335,248.50128095505818,3,14,14,11
1,243.84547501505406,378.26418396093356,378.2641839609335,248.50128095505818,3,14,14,11
2,303.6354786573565,426.7761615865256,431.3577622256581,344.9528171378345,4,14,14,10
3,272.0302757285009,405.2985941765977,405.2985941765977,359.3134215404071,2,14,14,12
4,209.79435667847522,442.3426140988413,452.80863295601597,291.86423886693876,5,18,18,13
5,251.7053407825002,426.9113744167022,429.8042385316812,273.52591857610156,2,17,18,16
6,291.0482343653431,413.1983044567305,413.1983044567305,361.41380918379764,4,12,12,8
7,279.7033538236225,455.0044085310244,461.9623504065703,357.86406169822953,7,14,15,8
8,265.37468741478904,431.1091899435984,431.24659087744556,347.53041023396946,2,13,14,12
9,321.72560353683525,447.3561983017008,447.35619830170083,380.1662421568822,3,12,12,9
10,321.72560353683525,447.3561983017008,447.35619830170083,380.1662421568822,3,12,12,9
11,279.70832677460686,455.10726719778387,455.10726719778387,340.2003884528974,4,14,14,10
12,325.377735614327,452.3113533906201,453.35458705513577,465.655963173716,6,12,13,7
