,OMA Sum rate,Architecture Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Fixed NOMA Outage
101,73.59088066132477,73.59088066132477,73.59088066132477,0,0,0
102,73.59088066132477,73.59088066132477,73.59088066132477,0,0,0
103,100.02312901669382,100.02312901669382,100.02312901669382,0,0,0
104,40.35421862639342,55.329821869701895,40.35421862639342,0,1,1
105,40.35421862639342,55.329821869701895,40.35421862639342,0,1,1
106,51.506586948378995,64.4018939231565,51.506586948378995,0,1,1
107,46.10640385027959,64.68600186596073,52.588315686644606,1,2,1
108,46.10640385027959,64.68600186596073,52.588315686644606,1,2,1
109,61.482472564333904,80.73908382680082,77.71560911995537,1,2,1
110,82.44445725147803,85.7841447115113,82.44445725147803,0,1,1
111,82.44445725147803,85.7841447115113,82.44445725147803,0,1,1
112,73.65045480015185,82.48444134000776,76.04217294430353,1,3,2
113,55.271430842901125,92.57664339498956,70.39257609320688,2,3,1
114,55.271430842901125,92.57664339498956,70.39257609320688,2,3,1
115,54.545492481822144,75.55002560294292,54.545492481822144,0,1,1
116,48.939610785457084,72.95548425619077,48.93961078545709,0,2,2
117,48.939610785457084,72.95548425619077,48.93961078545709,0,2,2
118,52.28780369265121,76.19647226879448,57.679555945568396,1,3,2
119,24.64975700841814,62.05076992525841,28.02445139318228,1,4,3
120,24.64975700841814,62.056933646849316,28.602137712157436,1,4,3
121,54.36619607496708,58.28659657853147,58.35472807107458,1,1,0
122,20.79148765713087,59.246740191497594,32.195941930118785,1,3,2
123,20.79148765713087,59.246740191497594,32.195941930118785,1,3,2
124,64.56765789743973,90.98241895984899,70.27780241676089,1,3,2
125,51.560076400942904,72.88614237791742,51.560076400942904,0,3,3
126,51.560076400942904,72.88614237791742,51.560076400942904,0,3,3
127,85.27016318276179,106.52858423630376,94.15991151862329,1,3,2
128,85.27016318276179,106.52858423630376,94.15991151862329,1,3,2
129,64.4406678124652,87.426878696083,70.81674889132933,1,3,2
130,65.1257180749784,62.466672682334504,107.84853616826855,2,3,1
131,65.1257180749784,62.466672682334504,107.84853616826855,2,3,1
132,60.83562676629082,77.67394945017162,69.23058879985358,1,3,2
133,38.849484932607254,54.71262575745283,50.86950168004007,2,3,1
134,38.849484932607254,54.539250791920324,50.69936634036345,2,3,1
135,36.297158583559494,61.95850955417272,51.066895250134856,1,2,1
136,54.40732506627768,60.55014822872188,62.29356389209285,1,1,0
137,54.40732506627768,60.55014822872188,62.29356389209285,1,1,0
138,61.68505717238136,72.8153282879954,96.28870820689312,2,3,1
139,65.36145526032524,84.0885386776651,94.21515987468628,1,2,1
140,65.36145526032524,84.0885386776651,94.21515987468628,1,2,1
141,36.58081593800566,53.840419178477106,67.86011790343667,1,1,0
142,63.032143022512145,75.92986032989464,116.30652882467706,3,3,0
143,63.032143022512145,81.79014551062367,105.35751386096354,2,3,1
144,66.47468343321096,90.16609933602295,67.49533252402068,1,3,2
145,62.77075733389077,72.01891703898897,98.10630625683609,2,2,0
146,62.77075733389077,72.01891703898897,98.10630625683609,2,2,0
147,32.5728661389678,72.21082383941493,64.21653231729037,2,3,1
148,54.620978214397226,86.32204296333454,54.620978214397226,0,2,2
149,54.620978214397226,86.32204296333454,54.620978214397226,0,2,2
150,56.557192918311905,70.1226118297076,66.97675097058674,1,2,1
151,66.73170015044445,90.38276114379735,109.4075744599571,3,3,0
152,66.73170015044445,90.38276114379735,109.4075744599571,3,3,0
153,21.788768700897492,42.06162240347798,21.788768700897492,0,1,1
154,39.66309352153867,65.95992881352551,39.66309352153867,0,1,1
155,39.66309352153867,65.95992881352551,39.66309352153867,0,1,1
156,61.414405509120684,76.99890083310896,74.47786744919651,1,2,1
157,32.14014532242202,32.14014532242202,32.14014532242202,0,0,0
158,32.14014532242202,32.14014532242202,32.14014532242202,0,0,0
159,80.19869795070338,86.96659940600279,89.53876932195917,1,1,0
160,81.53322467411873,96.14500317030301,81.53322467411873,0,1,1
161,81.53322467411873,100.34081680214594,92.23065884934485,1,2,1
162,59.63754106086139,75.30576814616055,84.05901558509754,1,2,1
163,24.99926414418109,55.19181088430459,39.952992692723754,1,3,2
164,24.99926414418109,55.20206457704221,43.325044772082144,2,3,1
165,31.409091842202315,48.14922342937428,59.84772953863683,2,2,0
166,52.7838136233064,77.15405263544332,52.78381362330641,0,2,2
167,52.7838136233064,77.15405263544332,52.78381362330641,0,2,2
168,47.184558560705185,68.6602019007986,47.184558560705185,0,3,3
169,77.80047736746465,77.80047736746465,77.80047736746465,0,0,0
170,77.80047736746465,77.80047736746465,77.80047736746465,0,0,0
171,27.76960710378323,29.750515932919377,36.6723675006285,1,1,0
172,39.439194812958874,42.04240366772993,39.439194812958874,0,1,1
173,39.439194812958874,42.04240366772993,39.439194812958874,0,1,1
174,83.26201562661096,97.20740026833035,102.4877576558437,1,2,1
175,100.89069367695868,100.89069367695868,100.89069367695868,0,0,0
176,100.89069367695868,100.89069367695868,100.89069367695868,0,0,0
177,35.62866185408126,39.551247065235366,42.84438378014032,1,1,0
178,49.85915310260011,67.1548441254263,49.85915310260012,0,2,2
179,54.80847427536965,73.50504800116036,54.808474275369655,0,2,2
180,54.80847427536965,73.50504800116036,54.808474275369655,0,2,2
181,47.44790167360905,66.26567539713893,78.61642956358399,2,2,0
182,47.44790167360905,66.26564165591302,65.17465370096699,2,2,0
183,47.940217217776805,90.41253548911298,69.83459132241083,2,3,1
184,78.04415740337879,90.83501825433508,78.04415740337878,0,1,1
185,32.011469766410976,77.98703132651622,33.69193499991299,1,3,2
186,32.011469766410976,78.03719058330392,33.69193499991299,1,3,2
187,51.393897851277885,106.89449973729343,84.16850773982007,2,4,2
188,48.40015219708341,77.59507432711025,59.11615008903966,1,2,1
189,48.40015219708341,77.59507432711025,59.11615008903966,1,2,1
190,36.469757390412,69.8732835541472,54.86153385810775,1,2,1
191,36.716448363158534,65.43544525094411,36.716448363158534,0,3,3
192,36.716448363158534,64.90136855492234,59.609775597799,1,3,2
193,31.437529112325464,45.18123901186483,45.18988378023012,1,1,0
194,31.437529112325464,45.18121256144087,43.59352916278664,1,1,0
195,84.72842610124268,84.72842610124268,84.72842610124268,0,0,0
196,93.46944718844271,98.3573792794082,125.50291867947554,1,2,1
197,30.915818936535302,50.62515497757569,30.91581893653531,0,3,3
198,30.915818936535302,50.62515497757569,30.91581893653531,0,3,3
199,25.225971821395884,33.590019563110324,44.62901398683706,2,2,0
200,69.87734607603923,76.3880188880947,69.87734607603923,0,1,1
201,69.87734607603923,76.3880188880947,69.87734607603923,0,1,1
202,60.980003073695556,64.31764439989118,60.98000307369556,0,1,1
203,60.980003073695556,64.31764439989118,60.98000307369556,0,1,1
204,47.19302109501879,70.16626376682042,68.63698689497653,2,3,1
